id,years_experience,skills,education_level,location,preferred_work_mode,gender,race,suitability_score
CAND_00000,3.0,68.0,Bacharelado,Região Metropolitana,Presencial,Feminino,Branca,0.4521782688191039
CAND_00001,2.7,40.0,Mestrado,Região Metropolitana,Híbrido,Feminino,Amarela,0.3141023820529159
CAND_00002,3.6,66.0,Bacharelado,Capitais,Presencial,Feminino,Indígena,0.4080104721218359
CAND_00003,0.6,50.0,Bacharelado,Capitais,Híbrido,Feminino,Branca,0.5041646038842191
CAND_00004,8.2,47.0,Mestrado,Região Metropolitana,Remoto,Masculino,Branca,0.7661098462365837
CAND_00005,0.0,25.0,Ensino Médio,Região Metropolitana,Presencial,Feminino,Branca,0.25607510301227276
CAND_00006,5.5,68.0,Bacharelado,Capitais,Remoto,Masculino,Branca,0.9298360907523354
CAND_00007,2.5,52.0,Mestrado,Região Metropolitana,Presencial,Não-binário,Preta,0.297701351208827
CAND_00008,11.0,26.0,Bacharelado,Região Metropolitana,Presencial,Masculino,Branca,0.6205734650120094
CAND_00009,5.1,56.0,Mestrado,Capitais,Híbrido,Masculino,Parda,0.8188404028777488
CAND_00010,0.0,41.0,Mestrado,Região Metropolitana,Presencial,Masculino,Preta,0.2530804244106932
CAND_00011,6.6,51.0,Bacharelado,Capitais,Presencial,Feminino,Branca,0.6154868850626661
CAND_00012,1.7,54.0,Bacharelado,Capitais,Remoto,Feminino,Parda,0.3867435542480782
CAND_00013,8.0,68.0,Bacharelado,Região Metropolitana,Híbrido,Masculino,Parda,0.581161215542681
CAND_00014,6.9,33.0,Mestrado,Capitais,Remoto,Masculino,Preta,0.49895573002273347
CAND_00015,9.4,59.0,Mestrado,Capitais,Presencial,Masculino,Branca,0.9790590631399001
CAND_00016,5.6,70.0,Bacharelado,Capitais,Híbrido,Feminino,Branca,0.6523106282223454
CAND_00017,7.5,88.0,Mestrado,Capitais,Híbrido,Masculino,Branca,0.8656823410190237
CAND_00018,5.1,66.0,Doutorado,Região Metropolitana,Presencial,Masculino,Branca,0.8429366500014923
CAND_00019,3.2,55.0,Ensino Médio,Capitais,Remoto,Masculino,Indígena,0.470715114004633
CAND_00020,8.2,54.0,Bacharelado,Capitais,Híbrido,Masculino,Preta,0.6111747308472895
CAND_00021,1.3,73.0,Mestrado,Capitais,Remoto,Feminino,Branca,0.6714163827794652
CAND_00022,4.9,46.0,Bacharelado,Capitais,Presencial,Não-binário,Branca,0.3025111772356093
CAND_00023,3.3,62.0,Bacharelado,Região Metropolitana,Híbrido,Masculino,Amarela,0.47379948996413956
CAND_00024,7.5,83.0,Mestrado,Região Metropolitana,Híbrido,Masculino,Branca,0.7918071678769063
CAND_00025,2.2,48.0,Mestrado,Capitais,Híbrido,Masculino,Branca,0.7058582593450707
