id,years_experience,skills,education_level,location,preferred_work_mode,gender,race,suitability_score
CAND_00000,6.4,42.0,Bacharelado,Região Metropolitana,Híbrido,Feminino,Branca,0.556546556964132
CAND_00001,3.9,39.0,Bacharelado,Capitais,Presencial,Masculino,Parda,0.36448707582834383
CAND_00002,5.1,18.0,Bacharelado,Capitais,Remoto,Masculino,Parda,0.2971789159033404
CAND_00003,6.5,60.0,Mestrado,Capitais,Híbrido,Feminino,Parda,0.42373661337833235
CAND_00004,5.7,69.0,Bacharelado,Capitais,Presencial,Feminino,Parda,0.5461737854669828
CAND_00005,8.0,51.0,Bacharelado,Região Metropolitana,Remoto,Não-binário,Preta,0.45251198102661755
CAND_00006,5.0,50.0,Mestrado,Capitais,Presencial,Masculino,Preta,0.5469441966677246
CAND_00007,7.6,46.0,Mestrado,Região Metropolitana,Remoto,Não-binário,Parda,0.44090075840300025
CAND_00008,0.7,41.0,Bacharelado,Capitais,Presencial,Masculino,Indígena,0.5794348001759755
CAND_00009,6.4,60.0,Bacharelado,Região Metropolitana,Presencial,Masculino,Amarela,0.5323426684838666
CAND_00010,6.7,40.0,Mestrado,Capitais,Presencial,Feminino,Preta,0.4148977738939621
CAND_00011,9.7,33.0,Bacharelado,Região Metropolitana,Presencial,Masculino,Amarela,0.5494873829737046
CAND_00012,3.1,57.0,Ensino Médio,Interior,Presencial,Masculino,Branca,0.25567362057807086
CAND_00013,4.1,52.0,Bacharelado,Capitais,Híbrido,Não-binário,Branca,0.589654548637715
CAND_00014,3.0,28.0,Bacharelado,Capitais,Remoto,Feminino,Preta,0.37682115469581384
CAND_00015,8.4,55.0,Mestrado,Capitais,Presencial,Feminino,Indígena,0.650880357801642
CAND_00016,3.9,73.0,Bacharelado,Região Metropolitana,Híbrido,Masculino,Parda,0.4768656502317947
CAND_00017,2.8,59.0,Bacharelado,Capitais,Híbrido,Masculino,Parda,0.3287651680949465
CAND_00018,10.6,59.0,Bacharelado,Região Metropolitana,Híbrido,Feminino,Parda,0.46909729418814217
CAND_00019,7.5,46.0,Bacharelado,Interior,Remoto,Não-binário,Preta,0.4795729878221356
CAND_00020,7.9,77.0,Bacharelado,Capitais,Híbrido,Masculino,Amarela,0.6837022837950937
CAND_00021,3.4,61.0,Ensino Médio,Capitais,Híbrido,Masculino,Preta,0.44003914953285117
CAND_00022,2.1,62.0,Mestrado,Capitais,Presencial,Masculino,Parda,0.49503853674621046
CAND_00023,9.0,52.0,Mestrado,Capitais,Híbrido,Masculino,Amarela,0.7836409398220034
CAND_00024,6.0,63.0,Bacharelado,Região Metropolitana,Híbrido,Não-binário,Branca,0.44602386814698586
CAND_00025,7.3,46.0,Ensino Médio,Capitais,Remoto,Masculino,Preta,0.47489148977022805
CAND_00026,8.6,66.0,Bacharelado,Região Metropolitana,Presencial,Feminino,Indígena,0.5451180957173292
CAND_00027,7.5,55.0,Bacharelado,Região Metropolitana,Remoto,Não-binário,Branca,0.6188367574495574
CAND_00028,7.6,43.0,Bacharelado,Capitais,Presencial,Não-binário,Branca,0.31425260195254273
CAND_00029,1.8,76.0,Mestrado,Interior,Híbrido,Feminino,Preta,0.6347262571722638
CAND_00030,1.8,46.0,Bacharelado,Capitais,Remoto,Feminino,Parda,0.34715607850990043
CAND_00031,2.5,37.0,Bacharelado,Região Metropolitana,Híbrido,Feminino,Indígena,0.3981535307048684
CAND_00032,2.2,87.0,Bacharelado,Região Metropolitana,Híbrido,Feminino,Parda,0.41986362727968934
CAND_00033,3.0,51.0,Mestrado,Região Metropolitana,Presencial,Feminino,Amarela,0.4575378602973258
CAND_00034,5.2,50.0,Bacharelado,Capitais,Presencial,Não-binário,Indígena,0.4719256069728717
CAND_00035,2.6,58.0,Mestrado,Capitais,Remoto,Feminino,Amarela,0.42565028111426595
CAND_00036,1.9,57.0,Ensino Médio,Capitais,Híbrido,Masculino,Preta,0.37440322564267975
CAND_00037,8.0,41.0,Bacharelado,Região Metropolitana,Presencial,Não-binário,Amarela,0.5766177027884022
CAND_00038,2.0,16.0,Bacharelado,Interior,Remoto,Feminino,Parda,0.16480824327971477
CAND_00039,3.3,75.0,Mestrado,Capitais,Presencial,Masculino,Amarela,0.5282678677410776
CAND_00040,4.2,48.0,Mestrado,Capitais,Híbrido,Não-binário,Parda,0.4726449336476793
CAND_00041,0.0,79.0,Bacharelado,Capitais,Presencial,Masculino,Amarela,0.422301486358936
CAND_00042,2.6,71.0,Mestrado,Região Metropolitana,Híbrido,Masculino,Amarela,0.46852590866116783
CAND_00043,3.3,83.0,Ensino Médio,Capitais,Híbrido,Feminino,Indígena,0.47470204499991414
CAND_00044,3.0,55.0,Bacharelado,Capitais,Presencial,Não-binário,Indígena,0.38088919525716325
CAND_00045,1.3,45.0,Bacharelado,Capitais,Presencial,Masculino,Preta,0.19559435972663616
CAND_00046,2.8,32.0,Bacharelado,Região Metropolitana,Híbrido,Não-binário,Parda,0.13943323474919775
CAND_00047,8.8,44.0,Doutorado,Região Metropolitana,Híbrido,Feminino,Amarela,0.4063308532830743
CAND_00048,3.1,53.0,Mestrado,Capitais,Remoto,Masculino,Indígena,0.4647717133545408
CAND_00049,5.1,49.0,Bacharelado,Capitais,Remoto,Masculino,Branca,0.37542680276815643
CAND_00050,8.4,40.0,Bacharelado,Região Metropolitana,Presencial,Feminino,Amarela,0.5264851172181995
CAND_00051,2.8,37.0,Bacharelado,Região Metropolitana,Presencial,Feminino,Amarela,0.1493863857771059
CAND_00052,3.4,43.0,Doutorado,Capitais,Remoto,Masculino,Branca,0.5260981549901903
CAND_00053,9.5,45.0,Mestrado,Região Metropolitana,Remoto,Feminino,Parda,0.4390830988647567
CAND_00054,3.7,68.0,Ensino Médio,Interior,Híbrido,Feminino,Amarela,0.3845574053292504
CAND_00055,9.4,53.0,Mestrado,Região Metropolitana,Híbrido,Masculino,Parda,0.4118650920418444
CAND_00056,1.9,38.0,Bacharelado,Capitais,Remoto,Não-binário,Indígena,0.3449574405528175
CAND_00057,3.6,65.0,Mestrado,Capitais,Remoto,Masculino,Indígena,0.5705902056463704
CAND_00058,5.1,49.0,Bacharelado,Capitais,Presencial,Masculino,Parda,0.4927203021012427
CAND_00059,0.0,65.0,Mestrado,Capitais,Presencial,Feminino,Parda,0.4228575550019329
CAND_00060,3.7,43.0,Bacharelado,Capitais,Híbrido,Não-binário,Branca,0.5104527600272097
CAND_00061,5.6,64.0,Mestrado,Região Metropolitana,Híbrido,Masculino,Preta,0.5481886639082172
CAND_00062,4.5,72.0,Bacharelado,Região Metropolitana,Presencial,Não-binário,Preta,0.6329353682480999
CAND_00063,4.3,64.0,Bacharelado,Capitais,Remoto,Feminino,Indígena,0.5566525303924824
CAND_00064,11.6,48.0,Mestrado,Interior,Híbrido,Masculino,Preta,0.5589006442188648
CAND_00065,1.7,29.0,Bacharelado,Região Metropolitana,Presencial,Feminino,Preta,0.2738084889567426
CAND_00066,11.0,89.0,Mestrado,Capitais,Presencial,Masculino,Parda,0.620010529522051
CAND_00067,8.5,28.0,Bacharelado,Região Metropolitana,Remoto,Masculino,Branca,0.40343185199096
CAND_00068,6.2,42.0,Bacharelado,Região Metropolitana,Presencial,Não-binário,Parda,0.2750904312449486
CAND_00069,3.2,79.0,Mestrado,Interior,Presencial,Feminino,Branca,0.6227144924122828
CAND_00070,0.0,64.0,Doutorado,Região Metropolitana,Remoto,Feminino,Branca,0.5204130291884114
CAND_00071,2.6,60.0,Ensino Médio,Região Metropolitana,Presencial,Masculino,Amarela,0.4101328526751338
CAND_00072,8.2,36.0,Mestrado,Interior,Híbrido,Não-binário,Preta,0.43415874533240023
CAND_00073,0.9,51.0,Mestrado,Capitais,Presencial,Masculino,Indígena,0.36811421992041066
CAND_00074,3.1,47.0,Bacharelado,Capitais,Presencial,Não-binário,Amarela,0.3336071739982958
CAND_00075,6.7,57.0,Mestrado,Capitais,Presencial,Masculino,Indígena,0.6899179890736098
CAND_00076,1.9,29.0,Bacharelado,Capitais,Híbrido,Não-binário,Parda,0.26214962083354565
