id,years_experience,skills,education_level,location,preferred_work_mode,gender,race,suitability_score
CAND_00000,1.1,52.0,Bacharelado,Região Metropolitana,Híbrido,Masculino,Branca,0.8123272704095346
CAND_00001,7.0,31.0,Bacharelado,Capitais,Remoto,Masculino,Amarela,0.48738771126016955
CAND_00002,6.1,56.0,Doutorado,Região Metropolitana,Híbrido,Feminino,Amarela,0.17033300594018497
CAND_00003,9.0,39.0,Bacharelado,Capitais,Remoto,Feminino,Preta,0.023042863296586807
CAND_00004,5.0,46.0,Bacharelado,Região Metropolitana,Híbrido,Masculino,Branca,0.7494614106512524
CAND_00005,3.1,58.0,Bacharelado,Região Metropolitana,Presencial,Feminino,Branca,0.6253663982140071
CAND_00006,0.0,41.0,Mestrado,Região Metropolitana,Híbrido,Masculino,Branca,0.7365974331985566
CAND_00007,10.0,43.0,Bacharelado,Região Metropolitana,Remoto,Masculino,Branca,0.8690299195331342
CAND_00008,10.7,40.0,Bacharelado,Capitais,Remoto,Feminino,Branca,0.5976923164948935
CAND_00009,2.8,53.0,Bacharelado,Capitais,Híbrido,Feminino,Branca,0.5983636119325048
CAND_00010,3.7,71.0,Bacharelado,Capitais,Híbrido,Feminino,Branca,0.5116469384842723
CAND_00011,3.0,29.0,Bacharelado,Região Metropolitana,Híbrido,Masculino,Branca,0.6940070123179289
CAND_00012,7.2,67.0,Bacharelado,Capitais,Presencial,Feminino,Branca,0.7205944542170583
CAND_00013,3.4,83.0,Ensino Médio,Região Metropolitana,Presencial,Feminino,Branca,0.63504765658687
CAND_00014,4.8,54.0,Bacharelado,Interior,Remoto,Masculino,Amarela,0.21652799013039656
CAND_00015,5.7,41.0,Ensino Médio,Capitais,Presencial,Masculino,Branca,0.7773081996437026
CAND_00016,2.3,61.0,Mestrado,Capitais,Híbrido,Masculino,Branca,1.0
CAND_00017,7.4,31.0,Mestrado,Capitais,Híbrido,Masculino,Branca,1.0
CAND_00018,8.4,62.0,Bacharelado,Capitais,Híbrido,Masculino,Amarela,0.7424409525559095
CAND_00019,12.5,48.0,Bacharelado,Capitais,Presencial,Feminino,Preta,0.19898255504387646
CAND_00020,6.0,35.0,Bacharelado,Capitais,Remoto,Masculino,Branca,1.0
CAND_00021,0.1,45.0,Mestrado,Capitais,Híbrido,Masculino,Parda,0.6727392324241539
CAND_00022,2.8,46.0,Bacharelado,Capitais,Remoto,Masculino,Branca,0.8405449449068361
CAND_00023,2.8,41.0,Ensino Médio,Interior,Híbrido,Masculino,Parda,0.20542175366412097
CAND_00024,5.7,57.0,Ensino Médio,Região Metropolitana,Remoto,Feminino,Indígena,0.1028146384431197
CAND_00025,6.6,53.0,Bacharelado,Capitais,Presencial,Masculino,Branca,1.0
CAND_00026,4.9,42.0,Bacharelado,Capitais,Remoto,Masculino,Preta,0.17411629503535564
CAND_00027,5.5,59.0,Bacharelado,Região Metropolitana,Híbrido,Feminino,Preta,0.0
CAND_00028,6.4,59.0,Bacharelado,Capitais,Remoto,Feminino,Amarela,0.09898302872654641
CAND_00029,5.6,40.0,Mestrado,Interior,Presencial,Masculino,Preta,0.0
CAND_00030,5.9,30.0,Doutorado,Interior,Híbrido,Masculino,Indígena,0.32810226661124403
CAND_00031,0.0,61.0,Bacharelado,Capitais,Remoto,Não-binário,Preta,0.0
CAND_00032,7.8,51.0,Ensino Médio,Região Metropolitana,Presencial,Masculino,Branca,0.8846258798350737
CAND_00033,7.5,54.0,Bacharelado,Região Metropolitana,Presencial,Feminino,Parda,0.48392218298430223
CAND_00034,5.6,34.0,Doutorado,Interior,Remoto,Feminino,Branca,0.2776114539728679
CAND_00035,11.7,64.0,Mestrado,Região Metropolitana,Híbrido,Masculino,Branca,1.0
CAND_00036,6.5,66.0,Mestrado,Interior,Remoto,Feminino,Branca,0.4074096366617912
CAND_00037,2.1,56.0,Bacharelado,Interior,Híbrido,Feminino,Parda,0.0735739629122169
CAND_00038,6.7,51.0,Ensino Médio,Capitais,Híbrido,Masculino,Parda,0.7510511010199601
CAND_00039,5.2,44.0,Doutorado,Região Metropolitana,Híbrido,Não-binário,Branca,0.44494611962334407
CAND_00040,2.7,0.0,Bacharelado,Capitais,Remoto,Feminino,Branca,0.2844090829236198
CAND_00041,12.1,76.0,Bacharelado,Capitais,Remoto,Masculino,Branca,1.0
CAND_00042,3.2,56.0,Bacharelado,Capitais,Presencial,Feminino,Branca,0.5621952629239078
CAND_00043,9.1,36.0,Bacharelado,Interior,Híbrido,Feminino,Amarela,0.0
CAND_00044,2.6,48.0,Mestrado,Capitais,Presencial,Não-binário,Preta,0.0
CAND_00045,3.6,36.0,Bacharelado,Capitais,Remoto,Masculino,Branca,0.82162884300357
CAND_00046,2.0,56.0,Bacharelado,Capitais,Híbrido,Feminino,Parda,0.3599193558079855
CAND_00047,3.3,33.0,Bacharelado,Capitais,Híbrido,Feminino,Amarela,0.0
CAND_00048,4.7,54.0,Bacharelado,Região Metropolitana,Híbrido,Feminino,Amarela,0.12354123124708125
